num_tbls,size_tbls,memory,accuracy
12,660,31680,0.882353
12,710,34080,0.898438
12,760,36480,0.898438
12,810,38880,0.907895
12,860,41280,0.907895
12,910,43680,0.920000
12,960,46080,0.917553
13,10,520,0.696970
13,60,3120,0.727848
13,110,5720,0.748373
13,160,8320,0.773543
13,210,10920,0.778781
13,260,13520,0.804196
13,310,16120,0.825359
13,360,18720,0.843521
13,410,21320,0.847666
13,460,23920,0.849754
13,510,26520,0.873418
13,560,29120,0.866834
13,610,31720,0.886889
13,660,34320,0.882353
13,710,36920,0.898438
13,760,39520,0.898438
13,810,42120,0.907895
13,860,44720,0.907895
13,910,47320,0.920000
13,960,49920,0.917553
14,10,560,0.696970
14,60,3360,0.727848
14,110,6160,0.748373
14,160,8960,0.773543
14,210,11760,0.778781
14,260,14560,0.804196
14,310,17360,0.825359
14,360,20160,0.843521
14,410,22960,0.847666
14,460,25760,0.849754
14,510,28560,0.873418
14,560,31360,0.866834
14,610,34160,0.886889
14,660,36960,0.882353
14,710,39760,0.898438
14,760,42560,0.898438
14,810,45360,0.907895
14,860,48160,0.907895
14,910,50960,0.920000
14,960,53760,0.917553
15,10,600,0.696970
15,60,3600,0.727848
15,110,6600,0.748373
15,160,9600,0.773543
15,210,12600,0.778781
15,260,15600,0.804196
15,310,18600,0.825359
15,360,21600,0.843521
15,410,24600,0.847666
15,460,27600,0.849754
15,510,30600,0.873418
15,560,33600,0.866834
15,610,36600,0.886889
15,660,39600,0.882353
15,710,42600,0.898438
15,760,45600,0.898438
15,810,48600,0.907895
15,860,51600,0.907895
15,910,54600,0.920000
15,960,57600,0.917553
16,10,640,0.696970
16,60,3840,0.727848
16,110,7040,0.748373
16,160,10240,0.773543
16,210,13440,0.778781
16,260,16640,0.804196
16,310,19840,0.825359
16,360,23040,0.843521
16,410,26240,0.847666
16,460,29440,0.849754
16,510,32640,0.873418
16,560,35840,0.866834
16,610,39040,0.886889
16,660,42240,0.882353
16,710,45440,0.898438
16,760,48640,0.898438
16,810,51840,0.907895
16,860,55040,0.907895
16,910,58240,0.920000
16,960,61440,0.917553
17,10,680,0.696970
17,60,4080,0.727848
17,110,7480,0.748373
17,160,10880,0.773543
17,210,14280,0.778781
17,260,17680,0.804196
17,310,21080,0.825359
17,360,24480,0.843521
17,410,27880,0.847666
17,460,31280,0.849754
17,510,34680,0.873418
17,560,38080,0.866834
17,610,41480,0.886889
17,660,44880,0.882353
17,710,48280,0.898438
17,760,51680,0.898438
17,810,55080,0.907895
17,860,58480,0.907895
17,910,61880,0.920000
17,960,65280,0.917553
18,10,720,0.696970
18,60,4320,0.727848
18,110,7920,0.748373
18,160,11520,0.773543
18,210,15120,0.778781
18,260,18720,0.804196
18,310,22320,0.825359
18,360,25920,0.843521
18,410,29520,0.847666
18,460,33120,0.849754
18,510,36720,0.873418
18,560,40320,0.866834
18,610,43920,0.886889
18,660,47520,0.882353
18,710,51120,0.898438
18,760,54720,0.898438
18,810,58320,0.907895
18,860,61920,0.907895
18,910,65520,0.920000
18,960,69120,0.917553
19,10,760,0.696970
19,60,4560,0.727848
19,110,8360,0.748373
19,160,12160,0.773543
19,210,15960,0.778781
19,260,19760,0.804196
19,310,23560,0.825359
19,360,27360,0.843521
19,410,31160,0.847666
19,460,34960,0.849754
19,510,38760,0.873418
19,560,42560,0.866834
19,610,46360,0.886889
19,660,50160,0.882353
19,710,53960,0.898438
19,760,57760,0.898438
19,810,61560,0.907895
19,860,65360,0.907895
19,910,69160,0.920000
19,960,72960,0.917553
20,10,800,0.696970
20,60,4800,0.727848
